Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
579,All For Nothing,Kensington,dutch pop,2014,152,86,46,-6,10,37,289,0,7,47
580,My Silver Lining,First Aid Kit,stomp and holler,2014,102,73,48,-5,21,43,NaN,3,3,64
581,Zandloper,Typhoon,dutch hip hop,2014,135,72,76,-8,95,51,280,5,24,47
582,Home,Dotan,dutch pop,2014,130,70,76,-9,4,30,268,7,4,42
583,Red Eyes,The War On Drugs,chamber pop,2014,162,82,46,-6,16,47,299,1,4,65
584,L'amour Toujours (Small Mix),Gigi D'Agostino,eurodance,2014,139,88,64,-4,36,74,242,8,3,70
585,"See Me, Feel Me - Single Version",The Who,album rock,2014,94,34,38,-11,8,8,217,9,3,39
586,Hemel Valt,Typhoon,dutch hip hop,2014,97,74,66,-7,33,74,161,24,14,43
587,Glycerine,Bush,alternative metal,2014,114,34,44,-11,10,8,266,4,3,65
588,Wit Licht,Jeroen van Koningsbrugge,pop,2014,146,69,59,-7,10,19,212,72,8,43
589,Yellow Submarine,The Beatles,british invasion,2014,111,64,62,-7,52,65,159,21,3,58
590,California Love,2Pac,g funk,2014,92,88,66,-3,69,77,348,3,9,41
591,Superheroes,The Script,celtic rock,2014,167,89,49,-4,7,64,245,0,4,75
592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84
593,Shake It Off,Taylor Swift,dance pop,2014,160,80,65,-5,33,94,219,6,17,66
594,Looking Too Closely,Fink,chamber pop,2014,175,52,48,-12,9,10,311,33,4,63
595,No Good in Goodbye,The Script,celtic rock,2014,156,87,37,-5,8,22,308,1,4,59
596,Counting Stars,OneRepublic,dance pop,2014,122,71,66,-5,12,48,258,7,4,74
597,Time After Time,Cyndi Lauper,dance pop,2014,130,44,72,-9,9,32,243,58,3,72
598,Sexy Als Ik Dans,Nielson,dutch pop,2014,94,54,79,-7,20,89,215,9,5,49
599,Done With It,Kensington,dutch pop,2014,116,78,65,-7,10,63,203,13,4,49
600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,70
601,Shut Up and Dance,WALK THE MOON,indie pop,2014,128,87,58,-4,26,62,199,1,6,82
602,Nothing Really Matters,Mr. Probz,dutch hip hop,2014,135,23,40,-9,11,28,222,89,4,61
603,Promises of No Man's Land,Blaudzun,dutch indie,2014,124,85,62,-6,24,64,215,12,3,43
604,Let It Go,James Bay,neo mellow,2014,147,31,55,-10,11,25,261,82,3,74
605,The Sound of Silence,Disturbed,alternative metal,2015,86,28,32,-9,10,18,248,47,3,75
606,Het Dorp - Live,Wim Sonneveld,dutch cabaret,2015,114,44,37,-15,67,45,198,82,8,15
607,Psycho,Muse,modern rock,2015,125,88,56,-3,87,51,317,0,3,69
608,Élan,Nightwish,finnish metal,2015,128,58,57,-9,14,30,287,1,3,58
609,Dat Ik Je Mis,Maaike Ouboter,dutch pop,2015,174,13,50,-13,10,28,256,88,6,29
610,Heading Up High,Armin van Buuren,edm,2015,128,93,52,-5,11,20,233,0,9,53
611,Zeg Maar Niets Meer - Remastered,Andre Hazes,dutch pop,2015,95,79,36,-8,91,30,167,16,4,26
612,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,57,216,2,5,71
613,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
614,Birds,Anouk,dutch indie,2015,85,41,17,-8,11,9,203,61,3,33
615,Michel,Anouk,dutch indie,2015,122,39,58,-8,9,16,249,76,3,20
616,Let It Happen,Tame Impala,australian psych,2015,125,88,60,-6,11,58,468,0,4,76
617,Everglow,Coldplay,permanent wave,2015,146,45,54,-9,11,14,283,46,3,69
618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85
619,Ordinary Love,U2,irish rock,2015,121,48,66,-9,18,35,219,4,3,45
620,Stressed Out,Twenty One Pilots,modern rock,2015,170,64,73,-6,6,65,202,5,14,83
621,For Bitter Or Worse,Anouk,dutch indie,2015,83,41,27,-8,12,32,255,29,3,21
622,All I Need - Edit,Air,downtempo,2015,95,42,50,-12,20,22,242,88,3,41
623,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,78
624,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,53,264,0,4,74
625,Three Days In A Row,Anouk,dutch indie,2015,171,50,36,-6,16,39,254,0,3,13
626,Moondance,Van Morrison,classic rock,2015,135,33,65,-11,22,52,272,43,3,42
627,R U Kiddin' Me,Anouk,dutch indie,2015,89,82,53,-6,9,69,200,1,4,16
628,"Theme From New York, New York",Frank Sinatra,adult standards,2015,109,59,41,-5,28,56,204,55,3,68
629,Hold Me,Douwe Bob,dutch americana,2015,161,38,35,-8,15,36,230,61,3,26
630,Budapest,George Ezra,folk-pop,2015,128,46,72,-8,11,39,201,8,3,68
631,Shoes of Lightning,Racoon,dutch indie,2015,78,40,54,-8,11,17,220,66,4,32
632,Mercy,Muse,modern rock,2015,130,93,48,-5,31,37,232,1,5,60
633,Tennessee Whiskey,Chris Stapleton,contemporary country,2015,49,37,39,-11,8,51,293,21,3,78
634,"Oxygene, Pt. 4",Jean-Michel Jarre,laboratorio,2015,189,76,43,-8,55,66,247,2,4,57
635,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,8,224,0,7,68
636,We Come 1 - Radio Edit,Faithless,big beat,2015,136,90,65,-11,15,61,222,0,4,54
637,Forever Man - 2015 Remaster,Eric Clapton,album rock,2015,111,90,64,-6,17,78,192,20,4,46
638,Down Man,Brainbox,dutch prog,2015,168,76,43,-9,10,51,155,0,6,35
639,Liquid Spirit - Claptone Remix,Gregory Porter,contemporary vocal jazz,2015,121,62,88,-9,5,30,384,0,5,63
640,Living Doll - 2003 Remaster,Cliff Richard & The Drifters,rock-and-roll,2015,127,47,76,-7,10,77,157,54,4,33
641,Ocean of Night,Editors,alternative dance,2015,106,67,57,-10,11,25,305,2,3,58
642,Be the One,Dua Lipa,dance pop,2015,87,65,66,-4,6,37,203,12,5,73
643,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,25,405,5,6,70
644,Ship To Wreck,Florence + The Machine,art pop,2015,142,92,56,-4,28,59,235,0,3,54
645,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
646,Happy Xmas (War Is Over),John Lennon,album rock,2015,147,68,40,-6,68,60,212,18,3,47
647,Sorry,Kensington,dutch pop,2016,134,41,46,-8,10,9,227,50,3,63
648,Cold Little Heart,Michael Kiwanuka,british soul,2016,108,40,49,-8,14,15,598,49,3,67
649,Barcelona,Freddie Mercury,glam rock,2016,170,46,18,-9,9,13,267,74,4,40
650,Leef,André Hazes Jr.,dutch pop,2016,121,73,67,-7,18,78,218,28,4,62
651,Hello,Adele,british soul,2016,158,45,48,-6,9,29,295,34,3,73
652,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74
653,Treur Niet (Ode Aan Het Leven),Diggy Dex,dutch hip hop,2016,98,72,68,-9,13,57,225,20,6,60
654,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,73
655,Do I Ever,Kensington,dutch pop,2016,163,79,39,-6,40,34,204,0,5,53
656,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,10,70,238,1,7,75
657,Whatever You Want,Status Quo,album rock,2016,123,55,55,-11,18,42,242,85,4,36
658,Lazarus,David Bowie,album rock,2016,130,70,66,-7,9,51,382,5,3,61
659,Million Years Ago,Adele,british soul,2016,106,27,72,-8,11,18,227,73,3,62
660,Dark Necessities,Red Hot Chili Peppers,alternative rock,2016,92,74,70,-7,11,20,302,7,7,74
661,You Want It Darker,Leonard Cohen,canadian folk,2016,109,33,67,-17,8,49,284,61,6,63
662,Bridges,Kensington,dutch pop,2016,150,83,38,-7,7,45,220,0,6,49
663,Once Upon a Time in the West - Main Theme,Ennio Morricone,classic soundtrack,2016,90,21,12,-11,13,5,223,84,4,54
664,Mooi,Marco Borsato,dutch cabaret,2016,150,43,49,-8,12,31,315,10,3,59
665,I Just Can't Help Believin',Elvis Presley,adult standards,2016,142,66,46,-8,9,34,274,28,5,44
666,Love & Hate,Michael Kiwanuka,british soul,2016,170,49,28,-8,17,53,427,16,3,66
667,New Gold Dream (81/82/83/84),Simple Minds,art rock,2016,123,75,59,-11,34,66,339,0,3,44
668,Disco Inferno,The Trammps,disco,2016,130,70,68,-9,14,81,214,0,3,54
669,Someone Somewhere (In Summertime),Simple Minds,art rock,2016,100,53,56,-11,11,67,278,2,3,41
670,24K Magic,Bruno Mars,dance pop,2016,107,80,82,-4,15,63,226,3,8,78
671,Blackstar,David Bowie,album rock,2016,98,55,37,-8,18,11,598,21,3,55
672,Water Under the Bridge,Adele,british soul,2016,95,84,60,-7,11,47,240,2,7,67
673,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,70
674,The Life I Live,Q'65,dutch prog,2016,131,46,60,-12,22,80,204,10,4,27
675,We All Stand Together - Remastered 2016,Paul McCartney,album rock,2016,72,26,35,-12,13,48,265,61,3,24
676,Heathens,Twenty One Pilots,modern rock,2016,90,40,73,-9,11,55,196,8,3,81
677,Jacob’s Song,Douwe Bob,dutch americana,2016,74,51,36,-8,16,15,318,4,3,40
678,Way Down We Go,KALEO,icelandic indie,2016,163,51,49,-8,10,34,214,58,12,76
679,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
680,Forbidden Colours,Ryuichi Sakamoto,compositional ambient,2016,105,24,61,-17,25,37,290,76,3,28
681,The Book Of Love,Gavin James,neo mellow,2016,108,7,52,-14,13,27,177,70,4,34
682,Zoutelande - feat. Geike,BLØF,dutch pop,2017,129,64,67,-7,14,89,223,22,3,41
683,Pokémon Theme-New Studio Recording,Jason Paige,pop,2017,145,91,57,-5,14,40,197,3,5,41
684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87
685,Thriller,Michael Jackson,pop,2017,118,89,76,-4,85,72,358,8,7,69
686,Boulevard of Broken Dreams,Green Day,modern rock,2017,167,68,50,-4,6,47,262,1,3,74
687,What About Us,P!nk,dance pop,2017,114,59,49,-6,9,19,270,3,5,76
688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88
690,Human,Rag'n'Bone Man,neo soul,2017,75,71,60,-4,17,55,200,39,30,78
691,Het het nog nooit zo donker west,Ede Staal,streektaal,2017,98,21,61,-20,8,42,274,60,3,28
692,Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,79
693,Sign of the Times,Harry Styles,dance pop,2017,120,60,52,-5,11,22,341,3,3,80
694,In the Blood,John Mayer,neo mellow,2017,80,66,55,-7,10,52,244,39,3,66
695,Nao ’t Zuuje,Lex Uiting,carnaval limburg,2017,190,53,26,-6,5,45,213,39,4,41
696,"Roll Over Lay Down - Live At The Kursaal, Southend / 1975",Status Quo,album rock,2017,132,69,34,-9,34,21,341,0,4,32
697,Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,56,201,4,3,82
698,Amigo,Chef'Special,dutch indie,2017,145,91,55,-5,35,64,180,1,7,33
699,Iederene Hef Een Reden,Bökkers,dutch rock,2017,108,61,57,-9,10,69,185,56,4,41
700,Everything Now,Arcade Fire,alternative dance,2017,116,87,55,-5,46,61,303,0,3,66
701,Sorry,Nothing But Thieves,alternative pop rock,2017,128,78,67,-5,13,52,215,0,3,62
702,One More Light,Linkin Park,alternative metal,2017,84,20,59,-11,9,17,255,90,3,75
703,Through the Barricades - Remastered,Spandau Ballet,dance rock,2017,146,28,49,-14,12,17,360,30,3,60
704,Freedom! '90 - Remastered,George Michael,dance rock,2017,92,85,68,-11,6,93,391,23,5,69
705,Amsterdam,Nothing But Thieves,alternative pop rock,2017,168,93,51,-5,24,67,272,0,24,63
706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84
707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86
708,Thinking Of A Place,The War On Drugs,chamber pop,2017,103,63,48,-7,12,16,671,39,3,59
709,Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,83
710,Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,80
711,Sunny Days,Armin van Buuren,edm,2017,115,71,63,-7,14,24,210,1,3,54
712,Supermarket Flowers,Ed Sheeran,pop,2017,90,24,59,-11,9,26,221,91,4,78
713,Holiday,Green Day,modern rock,2017,147,89,55,-3,89,72,233,0,3,67
714,Max,Paolo Conte,italian pop,2017,125,40,50,-9,12,15,225,34,3,25
715,Rapper's Delight,The Sugarhill Gang,east coast hip hop,2017,112,75,91,-10,4,83,234,7,25,48
716,Pain,The War On Drugs,chamber pop,2017,116,83,52,-4,8,48,331,0,4,62
717,Love On The Rocks,Neil Diamond,adult standards,2017,103,31,40,-8,12,31,262,92,3,40
718,Tuesday Afternoon (Forever Afternoon),The Moody Blues,album rock,2017,114,32,50,-13,24,30,249,10,3,50
719,Magnificent (She Says),Elbow,britpop,2017,92,87,51,-7,5,39,266,19,5,31
720,Nicotine,Chef'Special,dutch indie,2017,90,30,64,-10,10,44,238,62,3,36
721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,40,230,95,4,71
722,Beautiful Trauma,P!nk,dance pop,2017,96,62,41,-6,40,23,250,9,7,68
723,World Gone Mad,Bastille,metropopolis,2017,140,68,51,-3,18,36,196,28,3,64
724,Leave a Light On,Tom Walker,indie anthem-folk,2017,69,62,59,-6,13,27,186,2,11,75
725,Skin,Rag'n'Bone Man,neo soul,2017,171,75,56,-8,15,35,240,27,31,69
726,Lost on You,LP,la pop,2017,174,72,43,-6,9,69,268,10,4,78
727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88
728,Kleine Jongen,Andre Hazes,dutch pop,2018,91,70,54,-6,10,56,221,5,3,30
729,Duurt Te Lang,Davina Michelle,dutch pop,2018,174,44,64,-14,9,15,154,13,20,68
730,I Want To Break Free,Queen,glam rock,2018,109,41,81,-9,8,50,223,11,4,59
731,September,"Earth, Wind & Fire",disco,2018,126,83,69,-7,25,98,215,17,3,82
732,Voor Haar,Frans Halsema,dutch rock,2018,82,36,28,-12,25,36,172,65,3,30
733,Testament,Boudewijn de Groot,dutch indie,2018,122,40,43,-10,12,63,195,48,5,28
734,Atemlos durch die Nacht,Helene Fischer,german pop,2018,128,78,81,-4,19,82,220,6,5,38
735,Zij Gelooft In Mij,Andre Hazes,dutch pop,2018,152,60,32,-6,25,18,240,11,3,30
736,Verdronken Vlinder,Boudewijn de Groot,dutch indie,2018,128,54,33,-9,21,82,146,57,4,29
737,Als Het Avond Is,Suzan & Freek,dutch pop,2018,105,47,72,-7,11,45,206,53,3,65
738,De Vlieger,Andre Hazes,dutch pop,2018,105,66,40,-7,23,39,217,3,3,27
739,Geef Mij Je Angst,Andre Hazes,dutch pop,2018,140,57,34,-7,42,37,257,6,3,30
740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84
741,IJskoud,Nielson,dutch pop,2018,98,73,67,-7,37,15,210,4,5,65
742,Welterusten Mijnheer De President,Boudewijn de Groot,dutch indie,2018,131,41,55,-11,24,86,152,46,5,23
743,Jimmy,Boudewijn de Groot,dutch indie,2018,111,74,66,-10,32,89,236,23,3,32
744,Bad Liar,Imagine Dragons,modern rock,2018,178,64,38,-7,37,8,261,7,7,83
745,Sammy,Ramses Shaffy,dutch cabaret,2018,81,49,50,-8,14,76,135,76,5,23
746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87
747,Het Land Van Maas En Waal,Boudewijn de Groot,dutch indie,2018,126,60,73,-10,6,96,179,40,5,23
748,Shotgun,George Ezra,folk-pop,2018,116,74,67,-5,24,75,201,29,5,82
749,New Light,John Mayer,neo mellow,2018,124,69,83,-8,8,85,216,33,3,81
750,You Say,Lauren Daigle,ccm,2018,148,63,49,-7,9,8,275,68,3,80
751,Een Beetje Verliefd,Andre Hazes,dutch pop,2018,198,61,30,-7,15,33,251,6,3,32
752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85
753,Banger Hart - Radio Mix,Rob De Nijs,dutch pop,2018,124,89,77,-9,6,97,261,7,4,16
754,Malle Babbe,Rob De Nijs,dutch pop,2018,87,38,35,-10,12,53,253,73,4,15
755,Vluchten Kan Niet Meer,Frans Halsema,dutch rock,2018,87,25,41,-13,38,32,221,74,3,17
756,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80
757,High On Life (feat. Bonn),Martin Garrix,big room,2018,128,49,41,-6,11,37,231,1,3,78
758,Het Is Koud Zonder Jou,Andre Hazes,dutch pop,2018,197,64,18,-7,12,52,241,11,4,30
759,N Vriend,Andre Hazes,dutch pop,2018,68,58,23,-7,9,49,292,8,3,31
760,Always Remember Us This Way,Lady Gaga,dance pop,2018,130,50,55,-6,76,30,210,30,4,81
761,Een Meisje Van Zestien,Boudewijn de Groot,dutch indie,2018,140,49,57,-11,17,73,179,2,5,20
762,Why Don't You Do Right,Beth Hart,blues rock,2018,106,74,63,-8,17,67,276,47,4,44
763,De Zon Op,Diggy Dex,dutch hip hop,2018,100,57,74,-8,10,57,209,51,4,52
764,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,84
765,Prikkebeen,Boudewijn de Groot,dutch indie,2018,109,52,57,-11,13,33,252,5,3,17
766,Outlaw In 'Em,Waylon,dutch americana,2018,87,93,50,-3,37,68,217,3,8,39
767,Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,dutch indie,2018,132,71,42,-11,3,64,205,14,3,19
768,Skandal im Sperrbezirk,Spider Murphy Gang,austropop,2018,93,84,64,-8,21,89,216,42,4,26
769,Pain and Misery,The Teskey Brothers,australian americana,2018,89,34,71,-7,16,49,241,79,3,50
770,I Do,Douwe Bob,dutch americana,2018,73,25,49,-11,8,27,202,88,3,52
771,Het Laatste Rondje - Remastered,Andre Hazes,dutch pop,2018,103,76,53,-7,14,84,258,6,4,33
772,Guiding Light,Mumford & Sons,modern folk rock,2018,100,71,55,-8,8,30,218,6,5,60
773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
774,Hou Vol Hou Vast,BLØF,dutch pop,2018,86,61,51,-5,8,23,295,0,2,12
775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
776,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,114,79,60,-6,39,24,217,1,7,79
777,Lay Your Weapons Down,Ilse DeLange,dutch americana,2018,94,68,54,-9,9,47,219,1,6,21
778,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,82
779,Roller Coaster,Danny Vera,dutch americana,2019,97,38,40,-10,12,28,270,51,3,70
780,Arcade,Duncan Laurence,dutch pop,2019,72,33,45,-13,14,27,184,82,4,73
781,A Whiter Shade of Pale - Original Single Version,Procol Harum,album rock,2019,150,66,25,-7,9,44,249,50,3,67
782,Don't You (Forget About Me),Simple Minds,art rock,2019,111,75,67,-9,29,69,261,8,3,73
783,The Load-Out - Remastered,Jackson Browne,album rock,2019,106,32,52,-12,13,31,335,74,3,37
784,Stay - Remastered,Jackson Browne,album rock,2019,107,77,60,-8,11,72,204,10,3,36
785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85
786,Time To Give,White Lies,alternative dance,2019,120,83,43,-6,14,35,455,2,5,50
787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95
788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98
789,Love Like Blood,Killing Joke,alternative metal,2019,124,76,40,-8,37,49,261,10,5,37
790,Reünie,Snelle,dutch hip hop,2019,96,35,51,-9,59,51,172,67,15,71
791,About A Girl - Live Version,Nirvana,alternative rock,2019,121,76,61,-9,73,63,218,14,7,50
792,DEUTSCHLAND,Rammstein,alternative metal,2019,120,90,52,-5,10,24,322,0,4,72
793,Phantom Of The Opera,Floor Jansen,dutch pop,2019,132,87,47,-6,25,27,244,0,5,56
794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100
795,Blauwe Dag,Suzan & Freek,dutch pop,2019,98,56,70,-7,28,51,183,25,5,68
796,Homburg - Single Version - 2009 Remaster - Mono,Procol Harum,album rock,2019,142,66,36,-8,6,38,237,10,3,32
797,Uncharted,Kensington,dutch pop,2019,139,53,59,-7,29,23,241,14,3,65
798,Despacito,Luis Fonsi,latin,2019,178,80,66,-5,7,84,229,20,15,80
799,Dancing On My Own,Calum Scott,australian pop,2019,113,17,68,-9,10,24,260,84,3,28
800,Killing In The Name,Rage Against The Machine,alternative metal,1992,89,83,47,-4,3,66,314,3,30,78
801,Fear of the Dark - 2015 Remaster,Iron Maiden,album rock,1992,110,87,31,-6,23,23,438,0,6,55
802,Bed Of Roses,Bon Jovi,glam metal,1992,165,60,NaN,-6,21,16,394,10,3,73
803,Everybody Hurts,R.E.M.,alternative rock,1992,94,32,47,-10,12,17,320,62,3,74
804,Kayleigh,Marillion,album rock,1992,106,67,56,-7,9,60,243,2,3,58
805,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,album rock,1992,94,52,56,-12,94,64,289,32,5,70
806,I Will Always Love You,Whitney Houston,dance pop,1992,67,21,31,-13,8,11,271,84,4,77
807,Nightswimming,R.E.M.,alternative rock,1992,114,39,57,-11,10,NaN,258,80,3,62
808,Conquest of Paradise,Vangelis,cyberpunk,1992,74,30,43,-14,23,16,278,70,3,61
809,Would?,Alice In Chains,alternative metal,1992,101,83,31,-8,9,59,207,0,4,71
810,Friday I'm in Love,The Cure,dance rock,1992,136,76,53,-12,34,51,214,0,3,67
811,Sharp Dressed Man,ZZ Top,album rock,1992,125,77,65,-8,10,40,252,0,3,53
812,Man On The Moon,R.E.M.,alternative rock,1992,NaN,70,67,-8,20,66,314,42,3,67
813,Gimme All Your Lovin',ZZ Top,album rock,1992,120,79,66,-7,6,71,240,5,3,44
814,What's Up?,4 Non Blondes,new wave pop,1992,134,56,56,-10,11,45,296,16,3,78
815,Lavender,Marillion,album rock,1992,138,55,33,-6,9,23,224,31,3,51
816,Plush - 2017 Remaster,Stone Temple Pilots,alternative metal,1992,144,94,43,-5,14,47,314,1,4,61
817,Eloise,Barry Ryan,bubblegum pop,1992,131,59,43,-12,36,46,345,22,3,45
818,Harvest Moon,Neil Young,album rock,1992,113,31,65,-12,12,41,303,53,3,71
819,Drive,R.E.M.,alternative rock,1992,143,43,47,-12,23,24,271,18,3,62
820,Remedy,The Black Crowes,album rock,1992,160,98,41,-4,8,35,323,0,5,56
821,I've Got Dreams to Remember,Otis Redding,classic soul,1992,142,28,39,-13,14,40,196,50,3,49
822,Jump Around,House Of Pain,gangster rap,1992,107,71,85,-6,17,82,215,1,8,74
823,Human Touch,Bruce Springsteen,classic rock,1992,115,52,65,-14,10,45,389,0,3,58
824,Vlieg Met Me Mee - Live,Paul de Leeuw,dutch cabaret,1992,176,47,35,-14,77,56,312,77,20,40
825,In These Arms,Bon Jovi,glam metal,1992,123,92,51,-3,21,46,319,1,6,59
826,Out Of Space,The Prodigy,big beat,1992,147,87,64,-11,11,61,298,0,6,48
827,Find The River,R.E.M.,alternative rock,1992,145,44,42,-9,14,30,230,22,3,58
828,I Have Nothing,Whitney Houston,dance pop,1992,153,40,54,-10,16,24,289,58,4,73
829,Rosalyn,Vitesse,nederpop,1992,102,51,49,-13,7,67,208,1,6,39
830,Rooster,Alice In Chains,alternative metal,1992,144,55,27,-8,12,20,374,3,3,68
831,Why,Annie Lennox,europop,1992,91,47,53,-9,13,12,294,28,2,64
832,Rhythm Is A Dancer,SNAP!,diva house,1992,124,65,76,-15,9,86,332,21,3,57
833,Keep The Faith,Bon Jovi,glam metal,1992,118,97,57,-4,8,57,347,0,5,58
834,No Rain,Blind Melon,alternative metal,1992,148,48,39,-9,26,57,217,62,3,73
835,Creep,Radiohead,alternative rock,1993,92,43,52,-10,13,10,239,1,4,82
836,Proud Mary,Tina Turner,disco,1993,171,50,40,-11,11,37,327,8,7,66
837,Fields Of Gold,Sting,permanent wave,1993,104,34,65,-12,7,32,222,37,2,69
838,Eagle - Short Version,ABBA,europop,1993,86,83,41,-8,17,65,263,0,3,41
839,Linger,The Cranberries,irish rock,1993,95,43,44,-15,14,20,275,8,3,75
840,Alles Geprobeerd,Het Goede Doel,dutch pop,1993,76,56,59,-15,8,84,388,11,4,38
841,I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,album rock,1993,105,67,42,-6,41,30,316,62,9,59
842,Shape Of My Heart,Sting,permanent wave,1993,84,37,54,-10,8,24,279,69,3,72
843,I Will Survive - Single Version,Gloria Gaynor,disco,1993,116,62,80,-13,32,64,199,2,5,60
844,Ordinary World,Duran Duran,dance rock,1993,140,65,47,-10,14,40,340,1,3,72
845,Disarm - Remastered,The Smashing Pumpkins,alternative metal,1993,130,42,53,-10,14,22,197,14,3,62
846,Mr. Jones,Counting Crows,alternative rock,1993,142,82,58,-7,28,73,272,18,4,76
847,Heart-Shaped Box,Nirvana,alternative rock,1993,203,64,26,-10,9,38,281,20,6,74
848,Daughter (Remastered),Pearl Jam,alternative rock,1993,97,70,62,-10,6,73,234,1,3,68
849,In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,art rock,1993,119,53,47,-10,18,77,174,0,3,57
850,Gaia,Valensia,classical rock,1993,174,33,38,-13,21,20,331,74,3,39
851,Mull Of Kintyre - 1993 Digital Remaster,Wings,album rock,1993,93,26,33,-15,12,42,283,0,3,56
852,Cose della vita,Eros Ramazzotti,italian pop,1993,176,60,50,-9,22,47,289,6,3,48
853,Are You Gonna Go My Way,Lenny Kravitz,permanent wave,1993,129,67,62,-10,33,78,212,0,4,72
854,What's Love Got to Do with It,Tina Turner,disco,1993,98,41,85,-12,9,79,227,22,7,69
855,Rearviewmirror (Remastered),Pearl Jam,alternative rock,1993,159,96,37,-5,35,44,283,0,7,58
856,La solitudine,Laura Pausini,europop,1993,132,47,57,-6,15,26,241,74,4,57
857,Up Where We Belong,Joe Cocker,album rock,1993,139,43,57,-9,8,36,233,60,3,54
858,Rape Me,Nirvana,alternative rock,1993,112,75,42,-11,7,23,170,1,5,64
859,Round Here,Counting Crows,alternative rock,1993,94,48,31,-9,8,19,331,14,3,61
860,I Want You Back,The Jackson 5,adult standards,1993,98,54,64,-13,28,94,181,49,3,65
861,Younger Days,The Fatal Flowers,dutch indie,1993,116,85,54,-7,31,31,188,2,4,42
862,All Apologies,Nirvana,alternative rock,1993,113,63,45,-12,9,36,233,8,3,67
863,Zombie,The Cranberries,irish rock,1994,167,64,31,-9,37,31,306,2,3,80
864,Hallelujah,Jeff Buckley,alternative rock,1994,97,14,32,-10,18,8,414,93,3,73
865,Oude Maasweg,The Amazing Stroopwafels,dutch rock,1994,90,26,75,-15,12,13,206,70,4,45
866,Lightning Crashes,Live,alternative metal,1994,90,43,39,-9,11,43,326,24,4,64
867,Black Hole Sun,Soundgarden,alternative metal,1994,105,83,35,-5,8,15,319,0,4,76
